comparison_type,parcel_id,map,block,lot,current_sale_price,current_sale_date,current_qualified,current_book_page,prior1_sale_price,prior1_sale_date,prior1_book_page,prior2_sale_price,prior2_sale_date,prior2_book_page,prior3_sale_price,prior3_sale_date,prior3_book_page,data_quality_notes
CORRECTED_COMPREHENSIVE,91-176,91,176,,0.0,1900-01-01,Q,0/0,,,,,,,,,,Comprehensive sales data from multiple sources - VALIDATED: 0 sales cross-referenced with 1 sources
ORIGINAL_NHDRA,91-177,91,177,,0.0,1900-01-01,Q,0/0,0.0,1900-01-01,0/0,0.0,,nan,nan,,nan,Original NHDRA flat file data
CORRECTED_COMPREHENSIVE,91-177,91,177,,0.0,1900-01-01,Q,0/0,,,,,,,,,,Comprehensive sales data from multiple sources - VALIDATED: 0 sales cross-referenced with 1 sources
ORIGINAL_NHDRA,91-178,91,178,,129500.0,1998-07-17,Q,02328/0900,129500.0,1998-07-13,2328/0900,129500.0,1992-02-25,01953/0585,94000.0,,nan,Original NHDRA flat file data
CORRECTED_COMPREHENSIVE,91-178,91,178,,129500.0,1998-07-17,Q,02328/0900,129500.0,1992-02-25,01953/0585,,,,,,,Comprehensive sales data from multiple sources - VALIDATED: 2 sales cross-referenced with 2 sources
ORIGINAL_NHDRA,91-179,91,179,,114280.0,1992-05-18,Q,1968/0814,0.0,1901-01-01,0/0,0.0,,nan,nan,,nan,Original NHDRA flat file data
CORRECTED_COMPREHENSIVE,91-179,91,179,,114280.0,1992-05-18,Q,1968/0814,0.0,1901-01-01,0/0,,,,,,,Comprehensive sales data from multiple sources - VALIDATED: 1 sales cross-referenced with 2 sources
ORIGINAL_NHDRA,91-181,91,181,,262533.0,2012-06-05,Q,3888/0962,248533.0,2006-05-08,3277/0980,248533.0,2002-05-04,0/0,0.0,2002-01-07,02619/0683,Original NHDRA flat file data
CORRECTED_COMPREHENSIVE,91-181,91,181,,262533.0,2012-06-05,Q,3888/0962,248533.0,2006-05-08,3277/0980,248533.0,2002-05-04,0/0,0.0,2002-01-07,02619/0683,Comprehensive sales data from multiple sources - VALIDATED: 3 sales cross-referenced with 4 sources
ORIGINAL_NHDRA,91-182,91,182,,350000.0,2021-07-26,Q,4653/992,225000.0,2015-11-20,4172/0410,225000.0,2011-05-27,3796/0389,179000.0,1992-10-23,1995/0915,Original NHDRA flat file data
CORRECTED_COMPREHENSIVE,91-182,91,182,,350000.0,2021-07-26,Q,4653/992,225000.0,2015-11-20,4172/0410,225000.0,2011-05-27,3796/0389,179000.0,1992-10-23,1995/0915,Comprehensive sales data from multiple sources - VALIDATED: 4 sales cross-referenced with 4 sources
ORIGINAL_NHDRA,91-183,91,183,,237533.0,2005-03-03,Q,3113/0626,0.0,1972-09-13,01172/0534,0.0,1972-09-12,1172/0534,0.0,,nan,Original NHDRA flat file data
CORRECTED_COMPREHENSIVE,91-183,91,183,,237533.0,2005-03-03,Q,3113/0626,0.0,1972-09-13,01172/0534,,,,,,,Comprehensive sales data from multiple sources - VALIDATED: 1 sales cross-referenced with 2 sources
ORIGINAL_NHDRA,91-184,91,184,,195000.0,2007-04-16,Q,3396/0377,0.0,1990-08-10,01873/0249,0.0,1990-06-11,1873/0249,0.0,,nan,Original NHDRA flat file data
CORRECTED_COMPREHENSIVE,91-184,91,184,,195000.0,2007-04-16,Q,3396/0377,0.0,1990-08-10,01873/0249,0.0,1990-06-11,1873/0249,,,,Comprehensive sales data from multiple sources - VALIDATED: 1 sales cross-referenced with 3 sources
ORIGINAL_NHDRA,91-185,91,185,,488000.0,2025-07-18,Q,4949/0258,293000.0,2018-08-15,4382/0212,293000.0,2011-05-26,3796/0374,242400.0,2006-06-06,3289/0788,Original NHDRA flat file data
CORRECTED_COMPREHENSIVE,91-185,91,185,,488000.0,2025-07-18,Q,4949/0258,293000.0,2018-08-15,4382/0212,293000.0,2011-05-26,3796/0374,242400.0,2006-06-06,3289/0788,Comprehensive sales data from multiple sources - VALIDATED: 4 sales cross-referenced with 4 sources
ORIGINAL_NHDRA,91-186,91,186,,274000.0,2015-02-05,Q,4131/0400,226266.0,2003-08-29,2881/0261,226266.0,2002-05-16,02667/0326,185000.0,2002-05-15,2667/0326,Original NHDRA flat file data
CORRECTED_COMPREHENSIVE,91-186,91,186,,274000.0,2015-02-05,Q,4131/0400,226266.0,2003-08-29,2881/0261,226266.0,2002-05-16,02667/0326,185000.0,2002-05-15,2667/0326,Comprehensive sales data from multiple sources - VALIDATED: 4 sales cross-referenced with 4 sources
ORIGINAL_NHDRA,91-187,91,187,,0.0,2023-11-21,U,4839/0682,216333.0,2007-10-22,3461/0673,216333.0,1997-08-01,02263/0655,0.0,1997-07-29,2263/0655,Original NHDRA flat file data
CORRECTED_COMPREHENSIVE,91-187,91,187,,0.0,2023-11-21,U,4839/0682,216333.0,2007-10-22,3461/0673,216333.0,1997-08-01,02263/0655,0.0,1997-07-29,2263/0655,Comprehensive sales data from multiple sources - VALIDATED: 2 sales cross-referenced with 4 sources
ORIGINAL_NHDRA,91-188,91,188,,276000.0,2020-08-26,Q,4549/707,242500.0,2016-06-30,4217/0575,242500.0,2007-03-21,3388/0220,0.0,2003-10-24,02913/0195,Original NHDRA flat file data
CORRECTED_COMPREHENSIVE,91-188,91,188,,277000.0,2020-08-28,nan,nan,276000.0,2020-08-26,4549/707,242500.0,2016-06-30,4217/0575,242500.0,2007-03-21,3388/0220,Comprehensive sales data from multiple sources - ENHANCED: 3 → 4 verified sales from 4 sources
ORIGINAL_NHDRA,91-189,91,189,,221533.0,2011-06-29,Q,3803/0115,213000.0,2008-12-09,3570/0038,213000.0,2005-07-01,03160/0419,203000.0,2005-06-30,3160/0419,Original NHDRA flat file data
CORRECTED_COMPREHENSIVE,91-189,91,189,,221533.0,2011-06-29,Q,3803/0115,213000.0,2008-12-09,3570/0038,213000.0,2005-07-01,03160/0419,203000.0,2005-06-30,3160/0419,Comprehensive sales data from multiple sources - VALIDATED: 4 sales cross-referenced with 4 sources
ORIGINAL_NHDRA,91-190,91,190,,103000.0,1997-05-30,Q,2253/0278,56000.0,1996-02-29,02183/0982,56000.0,1996-02-20,2183/0982,56000.0,1963-09-30,0992/0553,Original NHDRA flat file data
CORRECTED_COMPREHENSIVE,91-190,91,190,,103000.0,1997-05-30,Q,2253/0278,56000.0,1996-02-29,02183/0982,56000.0,1963-09-30,0992/0553,,,,Comprehensive sales data from multiple sources - VALIDATED: 3 sales cross-referenced with 3 sources
ORIGINAL_NHDRA,91-191,91,191,,145000.0,2000-11-06,Q,2498/0272,0.0,1975-08-19,01254/0366,0.0,1975-08-19,1254/0366,0.0,,nan,Original NHDRA flat file data
CORRECTED_COMPREHENSIVE,91-191,91,191,,145000.0,2000-11-06,Q,2498/0272,0.0,1975-08-19,01254/0366,,,,,,,Comprehensive sales data from multiple sources - VALIDATED: 1 sales cross-referenced with 2 sources
ORIGINAL_NHDRA,91-192,91,192,,0.0,1995-11-12,Q,0/0,0.0,1995-11-12,0/0,0.0,1995-11-12,0/0,0.0,,nan,Original NHDRA flat file data
CORRECTED_COMPREHENSIVE,91-192,91,192,,0.0,1995-11-12,Q,0/0,,,,,,,,,,Comprehensive sales data from multiple sources - VALIDATED: 0 sales cross-referenced with 1 sources
ORIGINAL_NHDRA,91-193,91,193,,266500.0,2018-10-18,Q,4396/0197,266500.0,2018-10-18,4396/0197,266500.0,1984-05-16,1505/0567,0.0,1901-01-01,0/0,Original NHDRA flat file data
CORRECTED_COMPREHENSIVE,91-193,91,193,,266500.0,2018-10-18,Q,4396/0197,266500.0,1984-05-16,1505/0567,0.0,1901-01-01,0/0,,,,Comprehensive sales data from multiple sources - VALIDATED: 2 sales cross-referenced with 3 sources
ORIGINAL_NHDRA,91-194,91,194,,0.0,1900-01-01,Q,0/0,nan,,nan,nan,,nan,nan,,nan,Original NHDRA flat file data
CORRECTED_COMPREHENSIVE,91-194,91,194,,0.0,1900-01-01,Q,0/0,,,,,,,,,,Comprehensive sales data from multiple sources - VALIDATED: 0 sales cross-referenced with 1 sources
ORIGINAL_NHDRA,91-195,91,195,,440000.0,2016-01-29,Q,4185/0896,354934.0,2014-11-17,4095/0395,354934.0,2008-04-01,3713/0199,0.0,1986-03-26,1591/0130,Original NHDRA flat file data
CORRECTED_COMPREHENSIVE,91-195,91,195,,440000.0,2016-01-29,Q,4185/0896,354934.0,2014-11-17,4095/0395,354934.0,2008-04-01,3713/0199,0.0,1986-03-26,1591/0130,Comprehensive sales data from multiple sources - VALIDATED: 3 sales cross-referenced with 4 sources
ORIGINAL_NHDRA,91-196,91,196,,0.0,2005-04-14,Q,3128/0001,0.0,2004-12-30,03093/0257,0.0,2004-12-30,03093/0248,0.0,2004-12-30,03093/0239,Original NHDRA flat file data
CORRECTED_COMPREHENSIVE,91-196,91,196,,0.0,2005-04-14,Q,3128/0001,0.0,2004-12-30,03093/0257,,,,,,,Comprehensive sales data from multiple sources - VALIDATED: 0 sales cross-referenced with 2 sources
ORIGINAL_NHDRA,91-197,91,197,,0.0,2021-09-22,U,4669/619,26647.0,2021-09-02,4665/42,26647.0,2006-12-01,3354/0227,410000.0,2002-01-25,02626/0676,Original NHDRA flat file data
