Parcel ID,Assessment Year,Total Assessed Value,Land Assessed Value,Building Assessed Value,Data Source,Assessment Date,Tax Year
3-43,2022,476200.0,143700.0,332500.0,City Parcel Master,2022-01-01,2022
3-43,2020,472000.0,143800.0,328200.0,NHDRA,2020-01-01,2020
4-1,2022,678000.0,176100.0,498300.0,City Parcel Master,2022-01-01,2022
4-1,2020,678000.0,176100.0,498300.0,NHDRA,2020-01-01,2020
4-2,2022,274000.0,101200.0,165200.0,City Parcel Master,2022-01-01,2022
4-2,2020,274000.0,101200.0,165200.0,NHDRA,2020-01-01,2020
4-4,2022,1889900.0,657600.0,1184500.0,City Parcel Master,2022-01-01,2022
4-4,2020,1889900.0,657600.0,1184500.0,NHDRA,2020-01-01,2020
4-5,2022,672000.0,672000.0,0.0,City Parcel Master,2022-01-01,2022
4-5,2020,277500.0,253900.0,0.0,NHDRA,2020-01-01,2020
4-6,2022,392400.0,156800.0,235600.0,City Parcel Master,2022-01-01,2022
4-6,2020,392400.0,156800.0,235600.0,NHDRA,2020-01-01,2020
4-7,2022,599400.0,154100.0,445000.0,City Parcel Master,2022-01-01,2022
4-7,2020,599500.0,154200.0,445000.0,NHDRA,2020-01-01,2020
4-8,2022,465100.0,156800.0,308300.0,City Parcel Master,2022-01-01,2022
4-8,2020,465100.0,156800.0,308300.0,NHDRA,2020-01-01,2020
4-9,2022,439700.0,160600.0,279100.0,City Parcel Master,2022-01-01,2022
4-9,2020,439700.0,160600.0,279100.0,NHDRA,2020-01-01,2020
4-10,2022,409800.0,161700.0,202600.0,City Parcel Master,2022-01-01,2022
4-10,2020,368800.0,161700.0,202600.0,NHDRA,2020-01-01,2020
4-11,2022,514600.0,146200.0,368000.0,City Parcel Master,2022-01-01,2022
4-11,2020,514800.0,146400.0,368000.0,NHDRA,2020-01-01,2020
4-12,2022,456100.0,149500.0,294700.0,City Parcel Master,2022-01-01,2022
4-12,2020,456000.0,149400.0,294700.0,NHDRA,2020-01-01,2020
4-13,2022,760300.0,138700.0,612600.0,City Parcel Master,2022-01-01,2022
4-13,2020,728300.0,138800.0,587700.0,NHDRA,2020-01-01,2020
4-14,2022,574400.0,142100.0,432300.0,City Parcel Master,2022-01-01,2022
4-14,2020,574700.0,142400.0,432300.0,NHDRA,2020-01-01,2020
4-15,2022,742600.0,157200.0,585400.0,City Parcel Master,2022-01-01,2022
4-15,2020,742600.0,157200.0,585400.0,NHDRA,2020-01-01,2020
4-16,2022,750300.0,154200.0,596100.0,City Parcel Master,2022-01-01,2022
4-16,2020,743800.0,154200.0,589600.0,NHDRA,2020-01-01,2020
4-17,2022,958400.0,175800.0,767400.0,City Parcel Master,2022-01-01,2022
4-17,2020,958400.0,175800.0,767400.0,NHDRA,2020-01-01,2020
4-18-100,2022,684400.0,146800.0,532300.0,City Parcel Master,2022-01-01,2022
4-18-100,2020,679400.0,146800.0,532300.0,NHDRA,2020-01-01,2020
4-18-200,2022,753900.0,174000.0,579400.0,City Parcel Master,2022-01-01,2022
4-18-200,2020,755900.0,174000.0,581400.0,NHDRA,2020-01-01,2020
4-19,2022,653700.0,132900.0,520600.0,City Parcel Master,2022-01-01,2022
4-19,2020,653700.0,132900.0,520600.0,NHDRA,2020-01-01,2020
4-20,2022,454900.0,134300.0,305200.0,City Parcel Master,2022-01-01,2022
4-20,2020,454700.0,134300.0,305200.0,NHDRA,2020-01-01,2020
4-21,2022,389800.0,134300.0,254300.0,City Parcel Master,2022-01-01,2022
4-21,2020,329300.0,134300.0,193800.0,NHDRA,2020-01-01,2020
4-22,2022,417700.0,134300.0,283400.0,City Parcel Master,2022-01-01,2022
4-22,2020,417700.0,134300.0,283400.0,NHDRA,2020-01-01,2020
4-23-104,2022,433800.0,0.0,433800.0,City Parcel Master,2022-01-01,2022
4-23-104,2020,433800.0,0.0,433800.0,NHDRA,2020-01-01,2020
4-23-203,2022,399700.0,0.0,399700.0,City Parcel Master,2022-01-01,2022
4-23-203,2020,399700.0,0.0,399700.0,NHDRA,2020-01-01,2020
4-23-305,2022,352600.0,0.0,352600.0,City Parcel Master,2022-01-01,2022
4-23-305,2020,352600.0,0.0,352600.0,NHDRA,2020-01-01,2020
4-23-403,2022,411200.0,0.0,411200.0,City Parcel Master,2022-01-01,2022
4-23-403,2020,411200.0,0.0,411200.0,NHDRA,2020-01-01,2020
4-23-505,2022,340800.0,0.0,340800.0,City Parcel Master,2022-01-01,2022
4-23-505,2020,340800.0,0.0,340800.0,NHDRA,2020-01-01,2020
4-23-602,2022,400000.0,0.0,400000.0,City Parcel Master,2022-01-01,2022
4-23-602,2020,399200.0,0.0,399200.0,NHDRA,2020-01-01,2020
4-23-706,2022,398800.0,0.0,398800.0,City Parcel Master,2022-01-01,2022
4-23-706,2020,398800.0,0.0,398800.0,NHDRA,2020-01-01,2020
4-23-802,2022,375900.0,0.0,375900.0,City Parcel Master,2022-01-01,2022
4-23-802,2020,389800.0,0.0,389800.0,NHDRA,2020-01-01,2020
4-23-906,2022,452700.0,0.0,435100.0,City Parcel Master,2022-01-01,2022
4-23-906,2020,413400.0,0.0,413400.0,NHDRA,2020-01-01,2020
4-23-1001,2022,368200.0,0.0,368200.0,City Parcel Master,2022-01-01,2022
4-23-1001,2020,384100.0,0.0,384100.0,NHDRA,2020-01-01,2020
4-23-1107,2022,362100.0,0.0,362100.0,City Parcel Master,2022-01-01,2022
4-23-1107,2020,375500.0,0.0,375500.0,NHDRA,2020-01-01,2020
4-23-1201,2022,374800.0,0.0,374800.0,City Parcel Master,2022-01-01,2022
4-23-1201,2020,388600.0,0.0,388600.0,NHDRA,2020-01-01,2020
4-23-1307,2022,385100.0,0.0,385100.0,City Parcel Master,2022-01-01,2022
4-23-1307,2020,385100.0,0.0,385100.0,NHDRA,2020-01-01,2020
4-23-1418,2022,342700.0,0.0,342700.0,City Parcel Master,2022-01-01,2022
4-23-1418,2020,342700.0,0.0,342700.0,NHDRA,2020-01-01,2020
4-23-1508,2022,411000.0,0.0,411000.0,City Parcel Master,2022-01-01,2022
4-23-1508,2020,411000.0,0.0,411000.0,NHDRA,2020-01-01,2020
4-23-1618,2022,413600.0,0.0,413600.0,City Parcel Master,2022-01-01,2022
4-23-1618,2020,413600.0,0.0,413600.0,NHDRA,2020-01-01,2020
4-23-1708,2022,421600.0,0.0,421600.0,City Parcel Master,2022-01-01,2022
4-23-1708,2020,426800.0,0.0,426800.0,NHDRA,2020-01-01,2020
4-23-1909,2022,382600.0,0.0,382600.0,City Parcel Master,2022-01-01,2022
4-23-1909,2020,382600.0,0.0,382600.0,NHDRA,2020-01-01,2020
4-23-2017,2022,374800.0,0.0,374800.0,City Parcel Master,2022-01-01,2022
4-23-2017,2020,374800.0,0.0,374800.0,NHDRA,2020-01-01,2020
4-23-2109,2022,361300.0,0.0,361300.0,City Parcel Master,2022-01-01,2022
4-23-2109,2020,361300.0,0.0,361300.0,NHDRA,2020-01-01,2020
4-23-2216,2022,409100.0,0.0,409100.0,City Parcel Master,2022-01-01,2022
4-23-2216,2020,376800.0,0.0,376800.0,NHDRA,2020-01-01,2020
4-23-2310,2022,411800.0,0.0,411800.0,City Parcel Master,2022-01-01,2022
4-23-2310,2020,411800.0,0.0,411800.0,NHDRA,2020-01-01,2020
